country_or_area,year,commodity,flow,quantity(kg),category
India,2016,Durum wheat,Export,9476150,10_cereals
India,2016,"Wheat except durum wheat, and meslin",Export,189489126,10_cereals
India,2016,Rye,Export,3932,10_cereals
India,2016,Barley,Export,1660803,10_cereals
India,2016,Oats,Export,321500,10_cereals
India,2016,Maize (corn) seed,Export,31163403,10_cereals
India,2016,Maize except seed corn,Export,451684340,10_cereals
India,2016,Rice in the husk (paddy or rough),Export,103803095,10_cereals
India,2016,"Rice, husked (brown)",Export,14484680,10_cereals
India,2016,"Rice, semi-milled or wholly milled",Export,9059156125,10_cereals
India,2016,"Rice, broken",Export,729616875,10_cereals
India,2016,Grain sorghum,Export,65759884,10_cereals
India,2016,Buckwheat,Export,3173339,10_cereals
India,2016,Millet,Export,76339990,10_cereals
India,2016,Canary seed,Export,93617,10_cereals
India,2016,Cereals unmilled nes,Export,19351392,10_cereals
India,2015,Durum wheat,Export,12451300,10_cereals
India,2015,"Wheat except durum wheat, and meslin",Export,590448417,10_cereals
India,2015,Rye,Export,1190,10_cereals
India,2015,Barley,Export,84332471,10_cereals
India,2015,Oats,Export,144376,10_cereals
India,2015,Maize (corn) seed,Export,20459137,10_cereals
India,2015,Maize except seed corn,Export,893371817,10_cereals
India,2015,Rice in the husk (paddy or rough),Export,200212398,10_cereals
India,2015,"Rice, husked (brown)",Export,15368299,10_cereals
India,2015,"Rice, semi-milled or wholly milled",Export,9662944538,10_cereals
India,2015,"Rice, broken",Export,1146554772,10_cereals
India,2015,Grain sorghum,Export,118235919,10_cereals
India,2015,Buckwheat,Export,6180800,10_cereals
India,2015,Millet,Export,96263708,10_cereals
India,2015,Canary seed,Export,116787,10_cereals
India,2015,Cereals unmilled nes,Export,16905036,10_cereals
India,2014,Durum wheat,Export,251067900,10_cereals
India,2014,"Wheat except durum wheat, and meslin",Export,3699842482,10_cereals
India,2014,Rye,Export,444825,10_cereals
India,2014,Barley,Export,503701084,10_cereals
India,2014,Oats,Export,75589,10_cereals
India,2014,Maize (corn) seed,Export,27080385,10_cereals
India,2014,Maize except seed corn,Export,3543956196,10_cereals
India,2014,Rice in the husk (paddy or rough),Export,181609741,10_cereals
India,2014,"Rice, husked (brown)",Export,57220169,10_cereals
India,2014,"Rice, semi-milled or wholly milled",Export,9991927609,10_cereals
India,2014,"Rice, broken",Export,931257835,10_cereals
India,2014,Grain sorghum,Export,76985672,10_cereals
India,2014,Buckwheat,Export,10630512,10_cereals
India,2014,Millet,Export,79886235,10_cereals
India,2014,Canary seed,Export,1322172,10_cereals
India,2014,Cereals unmilled nes,Export,23404340,10_cereals
India,2013,Durum wheat,Export,1112083518,10_cereals
India,2013,"Wheat except durum wheat, and meslin",Export,3190670313,10_cereals
India,2013,Rye,Export,24109,10_cereals
India,2013,Barley,Export,392926796,10_cereals
India,2013,Oats,Export,50519,10_cereals
India,2013,Maize (corn) seed,Export,22720206,10_cereals
India,2013,Maize except seed corn,Export,4727006764,10_cereals
India,2013,Rice in the husk (paddy or rough),Export,241329758,10_cereals
India,2013,"Rice, husked (brown)",Export,25118295,10_cereals
India,2013,"Rice, semi-milled or wholly milled",Export,10105058138,10_cereals
India,2013,"Rice, broken",Export,1015575545,10_cereals
India,2013,Grain sorghum,Export,91508390,10_cereals
India,2013,Buckwheat,Export,8692497,10_cereals
India,2013,Millet,Export,58673704,10_cereals
India,2013,Canary seed,Export,5493267,10_cereals
India,2013,Cereals unmilled nes,Export,32058804,10_cereals
India,2012,Durum wheat,Export,2093906488,10_cereals
India,2012,"Wheat except durum wheat, and meslin",Export,2491060931,10_cereals
India,2012,Rye,Export,246826,10_cereals
India,2012,Barley,Export,117353385,10_cereals
India,2012,Oats,Export,1263624,10_cereals
India,2012,Maize (corn) seed,Export,8978094,10_cereals
India,2012,Maize except seed corn,Export,4262717641,10_cereals
India,2012,Rice in the husk (paddy or rough),Export,251173329,10_cereals
India,2012,"Rice, husked (brown)",Export,113416864,10_cereals
India,2012,"Rice, semi-milled or wholly milled",Export,9329935224,10_cereals
India,2012,"Rice, broken",Export,875039173,10_cereals
India,2012,Grain sorghum,Export,148550867,10_cereals
India,2012,Buckwheat,Export,377078,10_cereals
India,2012,Millet,Export,109480114,10_cereals
India,2012,Canary seed,Export,366666,10_cereals
India,2012,Cereals unmilled nes,Export,3683017,10_cereals
India,2011,Durum wheat,Export,235262320,10_cereals
India,2011,"Wheat except durum wheat, and meslin",Export,264638503,10_cereals
India,2011,Rye,Export,22833,10_cereals
India,2011,Barley,Export,44738882,10_cereals
India,2011,Oats,Export,110386,10_cereals
India,2011,Maize (corn) seed,Export,19788839,10_cereals
India,2011,Maize except seed corn,Export,3932313124,10_cereals
India,2011,Rice in the husk (paddy or rough),Export,38687362,10_cereals
India,2011,"Rice, husked (brown)",Export,2744620,10_cereals
India,2011,"Rice, semi-milled or wholly milled",Export,4758841459,10_cereals
India,2011,"Rice, broken",Export,217822411,10_cereals
India,2011,Grain sorghum,Export,38394876,10_cereals
India,2011,Buckwheat,Export,1782440,10_cereals
India,2011,Millet,Export,132958279,10_cereals
India,2011,Canary seed,Export,218119,10_cereals
India,2011,Cereals unmilled nes,Export,3411131,10_cereals
India,2010,Durum wheat,Export,98931,10_cereals
India,2010,"Wheat except durum wheat, and meslin",Export,577643,10_cereals
India,2010,Rye,Export,4041,10_cereals
India,2010,Barley,Export,48886504,10_cereals
India,2010,Oats,Export,9406,10_cereals
India,2010,Maize (corn) seed,Export,5682074,10_cereals
India,2010,Maize except seed corn,Export,1835319975,10_cereals
India,2010,Rice in the husk (paddy or rough),Export,16751104,10_cereals
India,2010,"Rice, husked (brown)",Export,116523,10_cereals
India,2010,"Rice, semi-milled or wholly milled",Export,2489687452,10_cereals
India,2010,"Rice, broken",Export,174077,10_cereals
India,2010,Grain sorghum,Export,,10_cereals
India,2010,Buckwheat,Export,62525,10_cereals
India,2010,Millet,Export,111918874,10_cereals
India,2010,Canary seed,Export,84310,10_cereals
India,2010,Cereals unmilled nes,Export,831365,10_cereals
India,2009,Durum wheat,Export,36125,10_cereals
India,2009,"Wheat except durum wheat, and meslin",Export,482950,10_cereals
India,2009,Rye,Export,30330,10_cereals
India,2009,Barley,Export,29058868,10_cereals
India,2009,Oats,Export,9812,10_cereals
India,2009,Maize (corn) seed,Export,81189467,10_cereals
India,2009,Maize except seed corn,Export,2613392071,10_cereals
India,2009,Rice in the husk (paddy or rough),Export,22718678,10_cereals
India,2009,"Rice, husked (brown)",Export,96139,10_cereals
India,2009,"Rice, semi-milled or wholly milled",Export,2127185574,10_cereals
India,2009,"Rice, broken",Export,1258520,10_cereals
India,2009,Grain sorghum,Export,43117232,10_cereals
India,2009,Buckwheat,Export,1151590,10_cereals
India,2009,Millet,Export,87476931,10_cereals
India,2009,Canary seed,Export,956319,10_cereals
India,2009,Cereals unmilled nes,Export,20400063,10_cereals
India,2008,Durum wheat,Export,238256,10_cereals
India,2008,"Wheat except durum wheat, and meslin",Export,401563,10_cereals
India,2008,Rye,Export,6843911,10_cereals
India,2008,Barley,Export,219397913,10_cereals
India,2008,Oats,Export,2407503,10_cereals
India,2008,Maize (corn) seed,Export,299181976,10_cereals
India,2008,Maize except seed corn,Export,3898080236,10_cereals
India,2008,Rice in the husk (paddy or rough),Export,22305713,10_cereals
India,2008,"Rice, husked (brown)",Export,1236634,10_cereals
India,2008,"Rice, semi-milled or wholly milled",Export,3497747865,10_cereals
India,2008,"Rice, broken",Export,14287303,10_cereals
India,2008,Grain sorghum,Export,90311840,10_cereals
India,2008,Buckwheat,Export,330488,10_cereals
India,2008,Millet,Export,212532736,10_cereals
India,2008,Canary seed,Export,4854991,10_cereals
India,2008,Cereals unmilled nes,Export,4937805,10_cereals
India,2007,Durum wheat,Export,200932,10_cereals
India,2007,"Wheat except durum wheat, and meslin",Export,344120,10_cereals
India,2007,Rye,Export,23807,10_cereals
India,2007,Barley,Export,294364438,10_cereals
India,2007,Oats,Export,97700,10_cereals
India,2007,Maize (corn) seed,Export,59749687,10_cereals
India,2007,Maize except seed corn,Export,1435088805,10_cereals
India,2007,Rice in the husk (paddy or rough),Export,46864815,10_cereals
India,2007,"Rice, husked (brown)",Export,10601137,10_cereals
India,2007,"Rice, semi-milled or wholly milled",Export,5808761020,10_cereals
India,2007,"Rice, broken",Export,374814440,10_cereals
India,2007,Grain sorghum,Export,22363299,10_cereals
India,2007,Buckwheat,Export,334641,10_cereals
India,2007,Millet,Export,63339781,10_cereals
India,2007,Canary seed,Export,209100,10_cereals
India,2007,Cereals unmilled nes,Export,2980858,10_cereals
India,2006,Durum wheat,Export,15593120,10_cereals
India,2006,"Wheat except durum wheat, and meslin",Export,36372556,10_cereals
India,2006,Rye,Export,36900,10_cereals
India,2006,Barley,Export,72390,10_cereals
India,2006,Oats,Export,214560,10_cereals
India,2006,Maize (corn) seed,Export,43737045,10_cereals
India,2006,Maize except seed corn,Export,590157809,10_cereals
India,2006,Rice in the husk (paddy or rough),Export,50222726,10_cereals
India,2006,"Rice, husked (brown)",Export,10267505,10_cereals
India,2006,"Rice, semi-milled or wholly milled",Export,4237469801,10_cereals
India,2006,"Rice, broken",Export,154005632,10_cereals
India,2006,Grain sorghum,Export,3754878,10_cereals
India,2006,Buckwheat,Export,692821,10_cereals
India,2006,Millet,Export,79686598,10_cereals
India,2006,Canary seed,Export,120096,10_cereals
India,2006,Cereals unmilled nes,Export,1582814,10_cereals
Italy,2016,Durum wheat,Export,411783708,10_cereals
Italy,2016,"Wheat except durum wheat, and meslin",Export,42357166,10_cereals
Italy,2016,Rye,Export,2072933,10_cereals
Italy,2016,Barley,Export,2999549,10_cereals
Italy,2016,Oats,Export,6781837,10_cereals
Italy,2016,Maize (corn) seed,Export,11560570,10_cereals
Italy,2016,Maize except seed corn,Export,42942721,10_cereals
