country_or_area,year,Rice Type,flow,quantity(kg)
Brazil,2016,Paddy/Rough Rice,Export,190910793
Brazil,2016,Husked Rice,Export,7946353
Brazil,2016,Milled Rice,Export,208651663
Brazil,2016,Broken Rice,Export,290432524
Brazil,2015,Paddy/Rough Rice,Export,219422313
Brazil,2015,Husked Rice,Export,7664363
Brazil,2015,Milled Rice,Export,443947643
Brazil,2015,Broken Rice,Export,290508008
Brazil,2014,Paddy/Rough Rice,Export,263496892
Brazil,2014,Husked Rice,Export,4631973
Brazil,2014,Milled Rice,Export,332438305
Brazil,2014,Broken Rice,Export,329351271
Brazil,2013,Paddy/Rough Rice,Export,280963060
Brazil,2013,Husked Rice,Export,33176735
Brazil,2013,Milled Rice,Export,317857158
Brazil,2013,Broken Rice,Export,286055975
Brazil,2012,Paddy/Rough Rice,Export,133921988
Brazil,2012,Husked Rice,Export,66013597
Brazil,2012,Milled Rice,Export,652022708
Brazil,2012,Broken Rice,Export,300747023
Brazil,2011,Paddy/Rough Rice,Export,135711589
Brazil,2011,Husked Rice,Export,118230523
Brazil,2011,Milled Rice,Export,758308640
Brazil,2011,Broken Rice,Export,338668372
Brazil,2010,Paddy/Rough Rice,Export,58343
Brazil,2010,Husked Rice,Export,15904678
Brazil,2010,Milled Rice,Export,134005722
Brazil,2010,Broken Rice,Export,280517618
Brazil,2009,Paddy/Rough Rice,Export,30040777
Brazil,2009,Husked Rice,Export,18782139
Brazil,2009,Milled Rice,Export,348811268
Brazil,2009,Broken Rice,Export,204486045
Brazil,2008,Paddy/Rough Rice,Export,17594983
Brazil,2008,Husked Rice,Export,13955011
Brazil,2008,Milled Rice,Export,319453613
Brazil,2008,Broken Rice,Export,167072897
Brazil,2007,Paddy/Rough Rice,Export,125179
Brazil,2007,Husked Rice,Export,911056
Brazil,2007,Milled Rice,Export,56784409
Brazil,2007,Broken Rice,Export,143656369
Brazil,2006,Paddy/Rough Rice,Export,95865
Brazil,2006,Husked Rice,Export,2663950
Brazil,2006,Milled Rice,Export,58426497
Brazil,2006,Broken Rice,Export,229253707
China,2016,Paddy/Rough Rice,Export,24474031
China,2016,Husked Rice,Export,161649596
China,2016,Milled Rice,Export,297596070
China,2016,Broken Rice,Export,760000
China,2015,Paddy/Rough Rice,Export,18904972
China,2015,Husked Rice,Export,156145967
China,2015,Milled Rice,Export,110490966
China,2015,Broken Rice,Export,400000
China,2014,Paddy/Rough Rice,Export,20228007
China,2014,Husked Rice,Export,169550838
China,2014,Milled Rice,Export,227918150
China,2014,Broken Rice,Export,1374000
China,2013,Paddy/Rough Rice,Export,17651061
China,2013,Husked Rice,Export,214927970
China,2013,Milled Rice,Export,245292909
China,2013,Broken Rice,Export,532000
China,2012,Paddy/Rough Rice,Export,23208668
China,2012,Husked Rice,Export,43988395
China,2012,Milled Rice,Export,211149501
China,2012,Broken Rice,Export,740000
China,2011,Paddy/Rough Rice,Export,25398124
China,2011,Husked Rice,Export,175032990
China,2011,Milled Rice,Export,314649971
China,2011,Broken Rice,Export,416000
China,2010,Paddy/Rough Rice,Export,23306288
China,2010,Husked Rice,Export,124423750
China,2010,Milled Rice,Export,471346501
China,2010,Broken Rice,Export,422000
China,2009,Paddy/Rough Rice,Export,23241985
China,2009,Husked Rice,Export,137535552
China,2009,Milled Rice,Export,621262328
China,2009,Broken Rice,Export,1965600
China,2008,Paddy/Rough Rice,Export,22437542
China,2008,Husked Rice,Export,145425570
China,2008,Milled Rice,Export,799473933
China,2008,Broken Rice,Export,1821080
China,2007,Paddy/Rough Rice,Export,21424977
China,2007,Husked Rice,Export,149711390
China,2007,Milled Rice,Export,1152662482
China,2007,Broken Rice,Export,1771790
China,2006,Paddy/Rough Rice,Export,15847223
China,2006,Husked Rice,Export,130707810
China,2006,Milled Rice,Export,1089617387
China,2006,Broken Rice,Export,850790
India,2016,Paddy/Rough Rice,Export,103803095
India,2016,Husked Rice,Export,14484680
India,2016,Milled Rice,Export,9059156125
India,2016,Broken Rice,Export,729616875
India,2015,Paddy/Rough Rice,Export,200212398
India,2015,Husked Rice,Export,15368299
India,2015,Milled Rice,Export,9662944538
India,2015,Broken Rice,Export,1146554772
India,2014,Paddy/Rough Rice,Export,181609741
India,2014,Husked Rice,Export,57220169
India,2014,Milled Rice,Export,9991927609
India,2014,Broken Rice,Export,931257835
India,2013,Paddy/Rough Rice,Export,241329758
India,2013,Husked Rice,Export,25118295
India,2013,Milled Rice,Export,10105058138
India,2013,Broken Rice,Export,1015575545
India,2012,Paddy/Rough Rice,Export,251173329
India,2012,Husked Rice,Export,113416864
India,2012,Milled Rice,Export,9329935224
India,2012,Broken Rice,Export,875039173
India,2011,Paddy/Rough Rice,Export,38687362
India,2011,Husked Rice,Export,2744620
India,2011,Milled Rice,Export,4758841459
India,2011,Broken Rice,Export,217822411
India,2010,Paddy/Rough Rice,Export,16751104
India,2010,Husked Rice,Export,116523
India,2010,Milled Rice,Export,2489687452
India,2010,Broken Rice,Export,174077
India,2009,Paddy/Rough Rice,Export,22718678
India,2009,Husked Rice,Export,96139
India,2009,Milled Rice,Export,2127185574
India,2009,Broken Rice,Export,1258520
India,2008,Paddy/Rough Rice,Export,22305713
India,2008,Husked Rice,Export,1236634
India,2008,Milled Rice,Export,3497747865
India,2008,Broken Rice,Export,14287303
India,2007,Paddy/Rough Rice,Export,46864815
India,2007,Husked Rice,Export,10601137
India,2007,Milled Rice,Export,5808761020
India,2007,Broken Rice,Export,374814440
India,2006,Paddy/Rough Rice,Export,50222726
India,2006,Husked Rice,Export,10267505
India,2006,Milled Rice,Export,4237469801
India,2006,Broken Rice,Export,154005632
Italy,2016,Paddy/Rough Rice,Export,12516239
Italy,2016,Husked Rice,Export,81007174
Italy,2016,Milled Rice,Export,526807210
Italy,2016,Broken Rice,Export,43593087
